date,awardee,awardee_id,awardee_code,Total Deliveries,Jurisdiction,Federal Retail Pharmacy Program,HRSA FQHC Program,FEMA CVC Pilot Program,HHS/NIH Program,Renal Dialysis Program,Federal Entities,Total Administrations,Jurisdiction + Federal Programs,Federal Entities Administrations,Overall Administration Ratio: Unadjusted,Overall Administration Ratio: Adjusted,Jurisdiction + Federal Program Administration Ratio: Unadjusted,Jurisdiction + Federal Program Administration Ratio: Adjusted,checksum- total admin,checksum- deliveries,delivery_total_mismatch,admin_total_mismatch
4/18/2021,Alabama,1001,AL,3664740,2722625,782240,23640,0,0,0,136235,2277955,2173627,104328,62.9%,63.7%,62.7%,63.6%,2277955,3664740,,
4/18/2021,Alaska,1002,AK,746705,583150,103375,14500,0,0,0,45680,508575,487535,21040,68.9%,69.9%,71.9%,72.9%,508575,746705,,
4/18/2021,American Samoa,1003,AS,43810,43810,0,0,0,0,0,0,35972,35972,0,81.5%,80.1%,81.5%,80.1%,35972,43810,,
4/18/2021,Arizona,1004,AZ,5738495,4070295,1122680,61240,0,0,4680,479600,4436843,4085132,351711,78.8%,80.5%,80.2%,82.1%,4436843,5738495,,
4/18/2021,Arkansas,1005,AR,2370830,1808480,455950,8640,0,0,1170,96590,1585770,1522055,63715,68.2%,69.9%,68.6%,70.3%,1585770,2370830,,
4/18/2021,California,1006,CA,32618010,23204200,6222280,1418340,776490,0,4680,992020,25569748,24986050,583698,79.9%,81.8%,84.2%,85.6%,25569748,32618010,,
4/18/2021,Colorado,1008,CO,4515250,3283880,938955,52320,21060,0,1170,217865,3714663,3572000,142663,82.9%,83.7%,84.8%,85.5%,3714663,4515250,,
4/18/2021,Connecticut,1009,CT,3395165,2194790,725355,379380,0,0,0,95640,2720972,2656275,64697,81.5%,83.1%,92.5%,93.5%,2720972,3395165,,
4/18/2021,Delaware,1010,DE,818475,588120,177475,5600,0,0,0,47280,637222,609444,27778,79.5%,81.6%,81.4%,83.4%,637222,818475,,
4/18/2021,District of Columbia,1011,DC,650425,429260,127180,7700,0,2340,0,83945,499531,432422,67109,78.4%,80.5%,79.5%,81.7%,499531,650425,,
